Parameter,Date,Value,Ticker,Company,Type,Finacial Type,Created Date
Basic EPS,2005-09-30,0.23430,AAPL,apple,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2019-09-30,11.89000,AAPL,apple,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2018-09-30,11.91000,AAPL,apple,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2017-09-30,9.21000,AAPL,apple,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2016-09-30,8.31000,AAPL,apple,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2015-09-30,9.22000,AAPL,apple,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2014-09-30,6.45000,AAPL,apple,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2013-09-30,5.68000,AAPL,apple,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2012-09-30,6.31000,AAPL,apple,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2011-09-30,3.95430,AAPL,apple,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2010-09-30,2.16430,AAPL,apple,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2009-09-30,1.29710,AAPL,apple,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2008-09-30,0.96860,AAPL,apple,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2007-09-30,0.56140,AAPL,apple,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2006-09-30,0.32430,AAPL,apple,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2005-09-30,0.22140,AAPL,apple,financial-ration,Q,05-29-20
